Policy,Number of Clients,Total commands,Sliding Window Time,Sliding Window Throughput,Sliding Window I/O,Overall Time,Overall Throughput,Overall I/O
Leveled,1,1000000,3.42,292424.85,88504,3.42,292424.85,88504
Leveled,1,2000000,7.37,135731.86,213038,10.79,185405.78,301542
Leveled,1,3000000,7.84,127616.05,228943,18.62,161089.78,530485
Leveled,1,4000000,8.23,121498.49,235676,26.85,148955.21,766161
Leveled,1,5000000,8.42,118726.41,239960,35.28,141737.67,1006121
Leveled,1,6000000,8.63,115905.19,242803,43.9,136661.25,1248924
Leveled,1,7000000,8.66,115412.7,248503,52.57,133158.99,1497427
Leveled,1,8000000,8.81,113472.42,249065,61.38,130332.53,1746492
Leveled,4,1000000,2.38,419955.62,88767,2.38,419955.62,88767
Leveled,4,2000000,3.92,254977.22,213722,6.3,317302.98,302489
Leveled,4,3000000,4.3,232808.33,229379,10.6,283058.84,531868
Leveled,4,4000000,4.48,223256.69,234293,15.08,265293.3,766161
Leveled,4,5000000,4.7,212607.23,238336,19.78,252765.74,1004497
Leveled,4,6000000,4.74,211026.2,242635,24.52,244699.1,1247132
Leveled,4,7000000,4.32,231544.83,247320,28.84,242729.14,1494452
Leveled,4,8000000,4.76,209876.27,250382,33.6,238070.85,1744834
Lazy Leveled,1,1000000,3.5,285576.88,88504,3.5,285576.88,88504
Lazy Leveled,1,2000000,7.75,129072.48,218025,11.25,177789.31,306529
Lazy Leveled,1,3000000,8.57,116671.85,241366,19.82,151359.83,547895
Lazy Leveled,1,4000000,9.21,108598.88,254821,29.03,137795.53,802716
Lazy Leveled,1,5000000,9.68,103339.24,266637,38.71,129180.99,1069353
Lazy Leveled,1,6000000,9.89,101127.55,267728,48.59,123472.32,1337081
Lazy Leveled,1,7000000,8.85,112931.02,248503,57.45,121847.52,1585584
Lazy Leveled,1,8000000,9.06,110384.45,249065,66.51,120286.11,1834649
Lazy Leveled,4,1000000,2.78,359998.93,88786,2.78,359998.93,88786
Lazy Leveled,4,2000000,3.79,263848,218715,6.57,304513.79,307501
Lazy Leveled,4,3000000,4.28,233656.82,241768,10.85,276558.13,549269
Lazy Leveled,4,4000000,4.61,216955.41,253628,15.46,258784.59,802897
Lazy Leveled,4,5000000,4.64,215499.92,264994,20.1,248790.33,1067891
Lazy Leveled,4,6000000,5.07,197414.58,267715,25.16,238447.92,1335606
Lazy Leveled,4,7000000,4.99,200206.85,247092,30.16,232114.26,1582698
Lazy Leveled,4,8000000,4.84,206539.49,250347,35,228576.32,1833045
Tiered,1,1000000,3.35,298393.63,88504,3.35,298393.63,88504
Tiered,1,2000000,7.28,137289.99,218025,10.64,188055.98,306529
Tiered,1,3000000,8.24,121319.79,241366,18.88,158916.75,547895
Tiered,1,4000000,8.87,112723.25,254821,27.75,144148.85,802716
Tiered,1,5000000,9.5,105302.52,266637,37.25,134244.25,1069353
Tiered,1,6000000,9.79,102117.03,267728,47.04,127555.82,1337081
Tiered,1,7000000,8.73,114558.68,252795,55.77,125521.4,1589876
Tiered,1,8000000,9.22,108451.68,262230,64.99,123099.5,1852106
Tiered,4,1000000,2.47,404414.59,88722,2.47,404414.59,88722
Tiered,4,2000000,3.65,274079.16,218804,6.12,326728.46,307526
Tiered,4,3000000,3.85,259775.41,241779,9.97,300879.44,549305
Tiered,4,4000000,4.01,249402.74,253564,13.98,286115.87,802869
Tiered,4,5000000,4.35,229790.24,265051,18.33,272744.94,1067920
Tiered,4,6000000,4.75,210715.34,267729,23.08,259989.16,1335649
Tiered,4,7000000,4.31,231913.74,251317,27.39,255569.28,1586966
Tiered,4,8000000,4.51,221797.11,263497,31.9,250795.81,1850463