Policy,Total commands,Sliding Window Time,Sliding Window Throughput,Sliding Window I/O,Overall Time,Overall Throughput,Overall I/O,I refs,I1 misses,Li misses,I1 miss rate,LLi miss rate,D refs,D1 misses,LLD misses,D1 miss rate,LLd miss rate,LL refs,LL misses,LL miss rate,Overall cache miss rate,Data cache miss rate,Weighted Miss Rate
Tiered,2000000,291.69,6856.52,482175,291.69,6856.52,482175,"22,856,629,986","232,764,599","4,999",1.02%,0.00%,"10,978,206,855","60,360,627","2,578,631",0.50%,0.00%,"293,125,226","2,583,630",0.00%,0.87%,0.55%,0.85%
Tiered,4000000,439.02,4555.65,763378,730.71,5474.14,1245553,"57,116,906,231","578,072,255","5,321",1.01%,0.00%,"27,567,344,561","149,725,809","5,555,975",0.50%,0.00%,"727,798,064","5,561,296",0.00%,0.86%,0.54%,0.84%
Tiered,6000000,517.74,3862.94,805435,1248.45,4805.96,2050988,"100,233,992,491","936,753,359","6,918",0.93%,0.00%,"48,302,052,139","277,567,602","7,933,325",0.60%,0.00%,"1,214,320,961","7,940,243",0.00%,0.82%,0.57%,0.82%
Tiered,8000000,464.27,4307.8,800228,1712.72,4670.92,2851216,"135,741,528,946","1,301,504,117","7,528",0.96%,0.00%,"65,348,052,852","408,228,195","13,021,151",0.60%,0.00%,"1,709,732,312","13,028,679",0.00%,0.85%,0.62%,0.84%
Tiered,10000000,566.12,3532.83,834943,2278.84,4388.19,3686159,"181,420,274,847","1,672,547,038","7,841",0.92%,0.00%,"87,590,694,030","587,707,224","14,351,832",0.70%,0.00%,"2,260,254,262","14,359,673",0.00%,0.84%,0.67%,0.85%
Leveled,2000000,282.75,7073.31,478206,282.75,7073.31,478206,"22,657,306,851","240,351,044","5,387",1.06%,0.00%,"10,731,507,198","67,456,585","2,968,357",0.60%,0.00%,"307,807,629","2,973,744",0.00%,0.92%,0.63%,0.91%
Leveled,4000000,381.24,5246.11,737869,663.99,6024.2,1216075,"53,831,404,804","593,618,246","8,318",1.10%,0.00%,"24,990,310,091","184,966,494","7,984,514",0.70%,0.00%,"778,584,740","7,992,832",0.00%,0.99%,0.74%,0.97%
Leveled,6000000,413.66,4834.9,763681,1077.65,5567.69,1979756,"89,331,926,135","958,323,997","13,470",1.07%,0.00%,"40,960,697,550","340,691,172","13,504,421",0.80%,0.00%,"1,299,015,169","13,517,891",0.00%,1.00%,0.83%,0.99%
Leveled,8000000,422.52,4733.52,783828,1500.17,5332.74,2763584,"122,441,293,676","1,329,331,313","15,498",1.09%,0.00%,"56,374,389,634","473,163,556","19,740,744",0.80%,0.00%,"1,802,494,869","19,756,242",0.00%,1.01%,0.84%,1.00%
Leveled,10000000,444.72,4497.19,787455,1944.89,5141.68,3551039,"159,282,572,372","1,665,836,184","19,665",1.05%,0.00%,"73,113,887,993","657,852,812","24,346,242",0.90%,0.00%,"2,323,688,996","24,365,907",0.00%,1.00%,0.90%,1.00%
Tiered-Skewed-0.8,2000000,319.29,6263.98,565322,319.29,6263.98,565322,"24,558,241,226","274,723,332","5,007",1.12%,0.00%,"11,794,400,923","57,382,147","2,578,669",0.50%,0.00%,"332,105,479","2,583,676",0.00%,0.91%,0.49%,0.92%
Tiered-Skewed-0.8,4000000,484.13,4131.13,823244,803.42,4978.75,1388566,"62,408,838,979","652,287,997","5,371",1.05%,0.00%,"30,181,213,464","149,342,007","5,559,460",0.50%,0.00%,"801,630,004","5,564,831",0.00%,0.87%,0.49%,0.87%
Tiered-Skewed-0.8,6000000,573.44,3487.73,851277,1376.85,4357.76,2239843,"110,399,109,462","1,037,124,831","6,990",0.94%,0.00%,"53,376,585,999","300,982,000","7,957,896",0.60%,0.00%,"1,338,106,831","7,964,886",0.00%,0.82%,0.56%,0.83%
Tiered-Skewed-0.8,8000000,484.06,4131.74,825669,1860.91,4298.97,3065512,"147,437,828,844","1,423,756,257","7,614",0.97%,0.00%,"71,169,684,150","435,083,982","13,044,449",0.60%,0.00%,"1,858,840,239","13,052,063",0.00%,0.85%,0.61%,0.85%
Tiered-Skewed-0.8,10000000,606.29,3298.77,863708,2467.2,4053.18,3929220,"196,695,123,632","1,816,854,106","7,980",0.92%,0.00%,"95,195,036,302","642,417,731","14,346,725",0.70%,0.00%,"2,459,271,837","14,354,705",0.00%,0.84%,0.67%,0.85%
Leveled-Skewed-0.8,2000000,303.48,6590.3,559783,303.48,6590.3,559783,"23,829,338,807","273,681,240","5,401",1.15%,0.00%,"11,275,576,133","67,943,414","2,959,240",0.60%,0.00%,"341,624,654","2,964,641",0.00%,0.97%,0.60%,0.97%
Leveled-Skewed-0.8,4000000,394.71,5066.99,790114,698.19,5729.12,1349897,"55,783,928,178","647,958,098","8,396",1.16%,0.00%,"25,893,417,303","186,296,770","8,053,113",0.70%,0.00%,"834,254,868","8,061,509",0.00%,1.02%,0.72%,1.01%
Leveled-Skewed-0.8,6000000,422.86,4729.68,797061,1121.05,5352.13,2146958,"91,830,053,329","1,026,030,349","13,388",1.12%,0.00%,"42,113,164,260","350,749,896","13,463,291",0.80%,0.00%,"1,376,780,245","13,476,679",0.00%,1.03%,0.83%,1.02%
Leveled-Skewed-0.8,8000000,433.66,4611.91,807852,1554.71,5145.66,2954810,"125,873,737,855","1,405,469,642","15,443",1.12%,0.00%,"57,968,122,471","501,501,726","19,758,018",0.90%,0.00%,"1,906,971,368","19,773,461",0.00%,1.04%,0.87%,1.05%
Leveled-Skewed-0.8,10000000,458.06,4366.27,809494,2012.77,4968.29,3764304,"163,905,614,429","1,783,649,183","19,605",1.09%,0.00%,"75,281,782,581","687,010,390","24,078,650",0.90%,0.00%,"2,470,659,573","24,098,255",0.00%,1.03%,0.91%,1.03%