Optimization,Policy,Total commands,Sliding Window Time,Sliding Window Throughput,Sliding Window I/O,Overall Time,Total Commands Processed,Overall Throughput,Overall I/O,Faults,Faults Increase,Cache Misses
None,Tiered,1310600000,0,0,0,0,0,0,0,3923122,0,0
None,Tiered,1310800000,6.9,28978.59,15256,6.9,200000,28985.50725,15256,3987568,64446,6
None,Tiered,1311000000,12.8,15624.25,37918,19.7,400000,20304.56853,53174,4032118,44550,1017
None,Tiered,1311200000,9.81,20380.18,37852,29.52,600000,20325.20325,91026,4032817,699,1519
None,Tiered,1311400000,8.38,23861.01,37513,37.9,800000,21108.17942,128539,4032855,38,1974
None,Tiered,1311600000,7.48,26720.2,37795,45.38,1000000,22036.13927,166334,4032862,7,2102
MONKEY,Tiered,1310600000,0,0,0,0,0,0,0,3530273,0,0
MONKEY,Tiered,1310800000,3.93,50938.76,91878,3.93,200000,50890.58524,91878,3530273,0,2
MONKEY,Tiered,1311000000,9.48,21091.57,229399,13.41,400000,29828.4862,321277,3604366,74093,1492
MONKEY,Tiered,1311200000,9.39,21299.12,229210,22.8,600000,26315.78947,550487,3605656,1290,1693
MONKEY,Tiered,1311400000,9.4,21280.46,228711,32.2,800000,24844.7205,779198,3605699,43,1789
MONKEY,Tiered,1311600000,9.39,21291.63,229204,41.59,1000000,24044.2414,1008402,3605699,0,1914
MONKEY,Leveled,1310600000,0,0,0,0,0,0,0,6753956,0,0
MONKEY,Leveled,1310800000,1.85,108153.71,5595,1.85,200000,108108.1081,30301,6872669,118713,1
MONKEY,Leveled,1311000000,4.23,47309.03,5700,6.08,400000,65789.47368,36001,6872669,0,513
MONKEY,Leveled,1311200000,4.45,44961.05,5483,10.53,600000,56980.05698,41484,6919854,47185,822
MONKEY,Leveled,1311400000,4.44,45082.8,5568,14.96,800000,53475.93583,47052,6921043,1189,950
MONKEY,Leveled,1311600000,6.15,32504.14,5548,21.11,1000000,47370.91426,52600,6921076,33,1235
None,Leveled,1310600000,0,0,0,0,0,0,0,6796265,0,0
None,Leveled,1310800000,2.99,66898.85,53919,2.99,200000,66889.63211,53919,6840870,44605,3
None,Leveled,1311000000,7.1,28183.98,134668,10.09,400000,39643.2111,188587,6883314,42444,614
None,Leveled,1311200000,7.42,26941.89,134920,17.51,600000,34266.13364,323507,6885876,2562,913
None,Leveled,1311400000,6.72,29781.33,134562,24.22,800000,33030.55326,458069,6885902,26,1098
None,Leveled,1311600000,6.35,31518.46,134658,30.57,1000000,32711.80896,592727,6885907,5,1100
None,Partial 0.3,1310600000,0,0,0,0,0,0,0,4522933,0,0
None,Partial 0.3,1310800000,17.52,11415.34,61993,17.52,200000,11415.52511,61993,4523362,429,23
None,Partial 0.3,1311000000,26.5,7547.69,154766,44.02,400000,9086.778737,216759,4523362,0,387
None,Partial 0.3,1311200000,19.37,10325.43,155162,63.39,600000,9465.215334,371921,4523362,0,597
None,Partial 0.3,1311400000,15.87,12600.63,154698,79.26,800000,10093.36361,526619,4523362,0,819
None,Partial 0.3,1311600000,13.68,14617.27,154446,92.94,1000000,10759.62987,681065,4523362,0,996
MONKEY,Partial 0.3,1310600000,0,0,0,0,0,0,0,4543873,0,0
MONKEY,Partial 0.3,1310800000,7.22,27689.17,967117,7.22,200000,27700.83102,967117,4543890,17,12
MONKEY,Partial 0.3,1311000000,17.86,11198.44,482861,25.08,400000,15948.96332,1449978,4543898,8,284
MONKEY,Partial 0.3,1311200000,17.85,11202.73,483717,42.94,600000,13972.98556,1933695,4543898,0,487
MONKEY,Partial 0.3,1311400000,17.9,11173.51,483109,60.83,800000,13151.40556,2416804,4543898,0,724
MONKEY,Partial 0.3,1311600000,17.9,11175.67,482926,78.73,1000000,12701.63851,2899730,4543902,4,894
None,Partial 0.5,1310600000,0,0,0,0,0,0,0,3668076,0,0
None,Partial 0.5,1310800000,18.22,10977.36,59532,18.22,200000,10976.94841,59532,3668139,63,102
None,Partial 0.5,1311000000,26.58,7523.14,148865,44.8,400000,8928.571429,208397,3668164,25,192
None,Partial 0.5,1311200000,18.5,10811.09,149109,63.3,600000,9478.672986,357506,3668164,0,427
None,Partial 0.5,1311400000,15.06,13283.53,148528,78.36,800000,10209.29045,506034,3668164,0,611
None,Partial 0.5,1311600000,12.98,15413.75,148363,91.34,1000000,10948.10598,654397,3668164,0,743
MONKEY,Partial 0.5,1310600000,0,0,0,0,0,0,0,3687089,0,0
MONKEY,Partial 0.5,1310800000,5.56,35999.52,887077,5.56,200000,35971.22302,887077,3687668,579,80
MONKEY,Partial 0.5,1311000000,13.6,14701.4,358449,19.16,400000,20876.82672,1245526,3687668,0,113
MONKEY,Partial 0.5,1311200000,13.65,14653.07,357631,32.81,600000,18287.10759,1603157,3687668,0,319
MONKEY,Partial 0.5,1311400000,13.62,14683.45,358137,46.43,800000,17230.23907,1961294,3687668,0,498
MONKEY,Partial 0.5,1311600000,13.65,14648.49,357907,60.08,1000000,16644.47403,2319201,3687668,0,716