Number of Threads,Total commands,Sliding Window Time,Sliding Window Throughput,Sliding Window I/O,Overall Time,Overall Throughput,Overall I/O
1,200000,0.21,944661.72,0,0.21,944661.72,0
1,400000,2.32,86371.37,12,2.53,158271.74,12
1,600000,6.45,31014.8,30,8.98,66846.16,42
1,800000,7.35,27209.37,55,16.33,49000.86,97
1,1000000,8.69,23014.32,54,25.02,39973.64,151
2,200000,0.21,951212.32,0,0.21,951212.32,0
2,400000,3.24,61649.54,12,3.45,115794.25,12
2,600000,5.37,37255.18,30,8.82,68005.75,42
2,800000,5.35,37396.09,55,14.17,56453.57,97
2,1000000,6.9,28980.9,54,21.07,47456.26,151
3,200000,0.21,944385.16,0,0.21,944385.16,0
3,400000,2.31,86755.59,12,2.52,158912.72,12
3,600000,5.35,37379.18,30,7.87,76261.38,42
3,800000,4.89,40939.23,55,12.75,62730.5,97
3,1000000,4.75,42081.51,54,17.51,57124.41,151
4,200000,0.22,918429.67,0,0.22,918429.67,0
4,400000,2.3,86904.64,12,2.52,158784.54,12
4,600000,5.37,37225.26,30,7.89,76027.95,42
4,800000,4.8,41650.43,55,12.69,63023.36,97
4,1000000,4.87,41092.75,54,17.56,56945.2,151
5,200000,0.23,880929.2,0,0.23,880929.2,0
5,400000,2.38,84168.92,12,2.6,153656.62,12
5,600000,5.59,35788.43,30,8.19,73245.7,42
5,800000,4.99,40079.11,55,13.18,60690.02,97
5,1000000,4.9,40851.18,54,18.08,55317.21,151
6,200000,0.22,920314.56,0,0.22,920314.56,0
6,400000,2.36,84642.94,12,2.58,155027.7,12
6,600000,5.61,35635.32,30,8.19,73236.89,42
6,800000,4.89,40927.67,55,13.08,61165.53,97
6,1000000,5.05,39570.96,54,18.13,55146.63,151
7,200000,0.22,903448.46,0,0.22,903448.46,0
7,400000,2.42,82527.73,12,2.64,151240.06,12
7,600000,5.61,35678.87,30,8.25,72724.09,42
7,800000,5.12,39047.12,55,13.37,59824.81,97
7,1000000,5.06,39554.04,54,18.43,54263.03,151
8,200000,0.23,859305.85,0,0.23,859305.85,0
8,400000,2.45,81660.55,12,2.68,149147.49,12
8,600000,5.44,36764.88,30,8.12,73874.49,42
8,800000,4.89,40864.79,55,13.02,61462.47,97
8,1000000,4.75,42080.52,54,17.77,56278.21,151
9,200000,0.21,938958.32,0,0.21,938958.32,0
9,400000,2.35,85174.7,12,2.56,156181.85,12
9,600000,5.41,36996.12,30,7.97,75309.8,42
9,800000,4.86,41127.65,55,12.83,62353.86,97
9,1000000,4.85,41267.65,54,17.68,56572.57,151
10,200000,0.21,938200.72,0,0.21,938200.72,0
10,400000,2.31,86484.95,12,2.53,158371,12
10,600000,5.4,37039.37,30,7.93,75706.19,42
10,800000,4.92,40610.65,55,12.85,62255.87,97
10,1000000,4.95,40370.28,54,17.8,56166.1,151